Variável de Análise,Grupo,Métrica,Tipo,Valor
Estrelas,Alto,Acoplamento Entre Objetos (CBO),Média,2.5
Estrelas,Alto,Acoplamento Entre Objetos (CBO),Mediana,2.35
Estrelas,Alto,Acoplamento Entre Objetos (CBO),Desvio Padrão,1.17
Estrelas,Alto,Profundidade da Árvore de Herança (DIT),Média,1.18
Estrelas,Alto,Profundidade da Árvore de Herança (DIT),Mediana,1.0
Estrelas,Alto,Profundidade da Árvore de Herança (DIT),Desvio Padrão,0.87
Estrelas,Alto,Falta de Coesão dos Métodos (LCOM),Média,455.91
Estrelas,Alto,Falta de Coesão dos Métodos (LCOM),Mediana,19.38
Estrelas,Alto,Falta de Coesão dos Métodos (LCOM),Desvio Padrão,5077.42
Estrelas,Alto,Linhas de Código (LOC),Média,22.12
Estrelas,Alto,Linhas de Código (LOC),Mediana,13.0
Estrelas,Alto,Linhas de Código (LOC),Desvio Padrão,32.51
Estrelas,Baixo,Acoplamento Entre Objetos (CBO),Média,2.51
Estrelas,Baixo,Acoplamento Entre Objetos (CBO),Mediana,2.39
Estrelas,Baixo,Acoplamento Entre Objetos (CBO),Desvio Padrão,1.13
Estrelas,Baixo,Profundidade da Árvore de Herança (DIT),Média,1.22
Estrelas,Baixo,Profundidade da Árvore de Herança (DIT),Mediana,1.0
Estrelas,Baixo,Profundidade da Árvore de Herança (DIT),Desvio Padrão,1.78
Estrelas,Baixo,Falta de Coesão dos Métodos (LCOM),Média,299.27
Estrelas,Baixo,Falta de Coesão dos Métodos (LCOM),Mediana,15.81
Estrelas,Baixo,Falta de Coesão dos Métodos (LCOM),Desvio Padrão,2477.47
Estrelas,Baixo,Linhas de Código (LOC),Média,23.36
Estrelas,Baixo,Linhas de Código (LOC),Mediana,12.69
Estrelas,Baixo,Linhas de Código (LOC),Desvio Padrão,43.54
Maturidade (anos),Alto,Acoplamento Entre Objetos (CBO),Média,2.52
Maturidade (anos),Alto,Acoplamento Entre Objetos (CBO),Mediana,2.38
Maturidade (anos),Alto,Acoplamento Entre Objetos (CBO),Desvio Padrão,1.07
Maturidade (anos),Alto,Profundidade da Árvore de Herança (DIT),Média,1.23
Maturidade (anos),Alto,Profundidade da Árvore de Herança (DIT),Mediana,1.0
Maturidade (anos),Alto,Profundidade da Árvore de Herança (DIT),Desvio Padrão,0.52
Maturidade (anos),Alto,Falta de Coesão dos Métodos (LCOM),Média,533.39
Maturidade (anos),Alto,Falta de Coesão dos Métodos (LCOM),Mediana,24.43
Maturidade (anos),Alto,Falta de Coesão dos Métodos (LCOM),Desvio Padrão,5316.42
Maturidade (anos),Alto,Linhas de Código (LOC),Média,24.39
Maturidade (anos),Alto,Linhas de Código (LOC),Mediana,13.36
Maturidade (anos),Alto,Linhas de Código (LOC),Desvio Padrão,39.22
Maturidade (anos),Baixo,Acoplamento Entre Objetos (CBO),Média,2.49
Maturidade (anos),Baixo,Acoplamento Entre Objetos (CBO),Mediana,2.36
Maturidade (anos),Baixo,Acoplamento Entre Objetos (CBO),Desvio Padrão,1.24
Maturidade (anos),Baixo,Profundidade da Árvore de Herança (DIT),Média,1.16
Maturidade (anos),Baixo,Profundidade da Árvore de Herança (DIT),Mediana,1.0
Maturidade (anos),Baixo,Profundidade da Árvore de Herança (DIT),Desvio Padrão,2.0
Maturidade (anos),Baixo,Falta de Coesão dos Métodos (LCOM),Média,193.29
Maturidade (anos),Baixo,Falta de Coesão dos Métodos (LCOM),Mediana,12.55
