Erro ao executar CK em Anuken_Mindustry: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\Anuken_Mindustry', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em aosp-mirror_platform_frameworks_base: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\aosp-mirror_platform_frameworks_base', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em checkstyle_checkstyle: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\checkstyle_checkstyle', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em dbeaver_dbeaver: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\dbeaver_dbeaver', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em dragonwell-project_dragonwell8: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\dragonwell-project_dragonwell8', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em eclipse-vertx_vert.x: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\eclipse-vertx_vert.x', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em elastic_elasticsearch: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\elastic_elasticsearch', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em google_j2objc: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\google_j2objc', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em Grasscutters_Grasscutter: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\Grasscutters_Grasscutter', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em JabRef_jabref: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\JabRef_jabref', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em NationalSecurityAgency_ghidra: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\NationalSecurityAgency_ghidra', 'false', '0', 'false']' returned non-zero exit status 1.
Erro ao executar CK em neo4j_neo4j: Command '['java', '-jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\ck\\target\\ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', 'E:\\Code\\Workspace do vscode\\Faculdade\\java-repositories-quality\\repositories\\neo4j_neo4j', 'false', '0', 'false']' returned non-zero exit status 1.
