Nome,Dono,Estrelas,Maturidade (anos),Forks,Releases
JavaGuide,Snailclimb,148732,6.87,45765,0
hello-algo,krahets,110335,2.37,13738,9
java-design-patterns,iluwatar,91006,10.61,26846,0
mall,macrozheng,79509,6.96,29093,3
advanced-java,doocs,77249,6.45,19162,1
spring-boot,spring-projects,76461,12.42,40989,300
LeetCodeAnimation,MisterBooo,75769,6.28,13977,0
elasticsearch,elastic,72009,15.11,25134,174
interviews,kdn251,64017,8.09,12918,0
Java,TheAlgorithms,61099,8.67,19743,0
spring-framework,spring-projects,57555,14.28,38418,327
ghidra,NationalSecurityAgency,55396,6.05,6219,42
Stirling-PDF,Stirling-Tools,54231,2.14,4497,118
guava,google,50591,10.81,10964,48
RxJava,ReactiveX,48041,12.19,7605,235
jadx,skylot,43194,12.01,5007,30
dbeaver,dbeaver,42273,9.41,3600,219
JeecgBoot,jeecgboot,41889,6.31,15160,54
dubbo,apache,40819,12.75,26505,109
termux-app,termux,39796,9.41,4269,91
MPAndroidChart,PhilJay,37863,10.9,9035,44
tutorials,eugenp,37086,11.89,54406,0
arthas,alibaba,36056,6.55,7535,59
hello-algorithm,geekxh,35512,4.8,6468,0
lottie-android,airbnb,35239,8.45,5438,56
halo,halo-dev,34984,6.99,9834,210
glide,bumptech,34816,11.7,6148,47
netty,netty,33879,14.36,16031,0
spring-boot-demo,xkcoding,33493,7.35,10946,0
AndroidUtilCode,Blankj,33491,8.64,10708,117
leetcode,doocs,33309,6.5,8715,21
NewPipe,TeamNewPipe,33235,9.54,3156,135
easyexcel,alibaba,33210,7.11,7617,14
zxing,zxing,33156,13.44,9384,31
selenium,SeleniumHQ,31852,12.18,8365,102
nacos,alibaba,30992,6.76,12975,77
WxJava,binarywang,30730,9.2,8802,30
spring-boot-examples,ityouknow,30401,8.37,12340,0
ruoyi-vue-pro,YunaiV,29682,4.15,6414,34
kafka,apache,29662,13.6,14238,0
hutool,chinabugotech,29620,10.93,7569,149
apollo,apolloconfig,29378,9.04,10228,41
canal,alibaba,28890,12.18,7648,32
SpringAll,wuyouzhuguli,28664,6.88,8182,0
xxl-job,xuxueli,28454,9.31,11109,36
spring-cloud-alibaba,alibaba,28306,7.29,8384,47
druid,alibaba,28089,13.38,8600,51
vhr,lenve,27656,7.2,10298,0
JCSprout,crossoverJie,27105,7.25,7075,0
miaosha,qiurunze123,26276,6.51,6618,0
keycloak,keycloak,25981,11.72,7132,76
Telegram,DrKLO,25908,11.4,8300,95
fastjson,alibaba,25777,13.38,6494,84
incubator-seata,apache,25547,6.22,8816,42
butterknife,JakeWharton,25530,12.04,4598,0
toBeTopJavaer,hollischuang,25424,6.4,5452,0
SmartRefreshLayout,scwang90,25050,7.79,4967,14
proxyee-down,proxyee-down-org,24903,7.4,4427,49
EventBus,greenrobot,24741,12.68,4671,7
flink,apache,24639,10.78,13559,0
Hystrix,Netflix,24264,12.33,4729,79
skywalking,apache,24157,9.36,6567,61
libgdx,libgdx,23824,12.61,6472,13
bazel,bazelbuild,23782,10.77,4155,186
jenkins,jenkinsci,23756,14.32,8981,404
redisson,redisson,23669,11.19,5414,166
gson,google,23616,10.0,4313,9
Mindustry,Anuken,23475,7.88,3041,160
openapi-generator,OpenAPITools,23096,6.85,6805,70
Sentinel,alibaba,22629,6.96,8083,25
source-code-hunter,doocs,22546,5.39,4168,0
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22208,12.32,773,0
ExoPlayer,google,21801,10.76,6039,28
SmartTube,yuliskov,21796,4.64,1176,716
rocketmq,apache,21614,8.3,11808,21
awesome-system-design-resources,ashishps1,21605,1.39,5160,0
eladmin,elunez,21545,6.26,7381,1
Apktool,iBotPeaches,21514,13.0,3680,25
Chat2DB,CodePhiliaX,20871,1.74,2299,43
graal,oracle,20695,9.18,1678,32
jdk,openjdk,20598,6.5,5752,0
GSYVideoPlayer,CarGuo,20585,8.35,4240,48
conductor,conductor-oss,20403,1.27,554,19
HikariCP,brettwooldridge,20315,11.45,2967,0
DoKit,didi,20290,6.59,3143,10
shardingsphere,apache,20117,9.17,6792,58
mybatis-3,mybatis,19998,12.09,12923,46
RxAndroid,ReactiveX,19866,10.58,2947,20
dataease,dataease,19598,4.12,3496,91
litemall,linlinjava,19535,6.99,7259,8
SpringBoot-Labs,yudaocode,19464,6.52,6081,0
LSPosed,LSPosed,19450,4.26,3165,39
PhotoView,Baseflow,18832,12.67,3931,5
cat,dianping,18808,12.29,5428,3
DSA-Bootcamp-Java,kunal-kushwaha,18551,3.63,11736,0
thingsboard,thingsboard,18432,8.3,5450,65
SpringCloudLearning,forezp,17924,7.95,8056,0
Algorithms,williamfiset,17753,8.0,4441,0
intellij-community,JetBrains,17734,13.47,5363,0
antlr4,antlr,17695,15.12,3340,31
