Nome,Owner,Estrelas,Criado em,Forks,Releases
JavaGuide,Snailclimb,148713,2018-05-07T13:27:00Z,45765,0
hello-algo,krahets,110283,2022-11-04T11:08:34Z,13731,9
java-design-patterns,iluwatar,90999,2014-08-09T16:45:18Z,26846,0
mall,macrozheng,79492,2018-04-04T01:11:44Z,29093,3
advanced-java,doocs,77238,2018-10-06T11:38:30Z,19163,1
spring-boot,spring-projects,76456,2012-10-19T15:02:57Z,40986,300
LeetCodeAnimation,MisterBooo,75769,2018-12-06T08:01:22Z,13978,0
elasticsearch,elastic,71998,2010-02-08T13:20:56Z,25132,174
interviews,kdn251,64016,2017-02-14T18:19:25Z,12917,0
Java,TheAlgorithms,61093,2016-07-16T10:21:02Z,19742,0
spring-framework,spring-projects,57553,2010-12-08T04:04:45Z,38417,327
ghidra,NationalSecurityAgency,55377,2019-03-01T03:27:48Z,6218,42
Stirling-PDF,Stirling-Tools,54188,2023-01-27T18:22:42Z,4491,118
guava,google,50585,2014-05-29T16:23:17Z,10964,48
RxJava,ReactiveX,48041,2013-01-08T20:11:48Z,7605,235
jadx,skylot,43188,2013-03-18T17:08:21Z,5008,30
dbeaver,dbeaver,42262,2015-10-21T08:26:28Z,3600,219
JeecgBoot,jeecgboot,41868,2018-11-26T10:40:00Z,15154,54
dubbo,apache,40817,2012-06-19T07:56:02Z,26504,109
termux-app,termux,39776,2015-10-23T09:42:46Z,4265,91
MPAndroidChart,PhilJay,37863,2014-04-25T14:29:47Z,9036,44
tutorials,eugenp,37081,2013-04-29T18:26:36Z,54406,0
arthas,alibaba,36055,2018-08-29T17:15:57Z,7535,59
hello-algorithm,geekxh,35511,2020-05-29T05:47:09Z,6468,0
lottie-android,airbnb,35238,2016-10-06T22:42:42Z,5438,56
halo,halo-dev,34978,2018-03-21T12:56:52Z,9832,210
glide,bumptech,34815,2013-07-08T22:52:33Z,6148,47
netty,netty,33875,2010-11-09T09:22:21Z,16031,0
AndroidUtilCode,Blankj,33491,2016-07-30T18:18:32Z,10709,117
spring-boot-demo,xkcoding,33485,2017-11-10T06:27:29Z,10947,0
leetcode,doocs,33292,2018-09-16T14:03:03Z,8704,21
NewPipe,TeamNewPipe,33230,2015-09-03T23:39:26Z,3156,135
easyexcel,alibaba,33201,2018-02-06T03:14:08Z,7617,14
zxing,zxing,33156,2011-10-12T14:07:27Z,9384,31
selenium,SeleniumHQ,31834,2013-01-14T21:40:56Z,8362,102
nacos,alibaba,30988,2018-06-15T06:49:27Z,12972,77
WxJava,binarywang,30727,2016-01-06T08:24:05Z,8801,30
spring-boot-examples,ityouknow,30401,2016-11-05T05:32:33Z,12342,0
ruoyi-vue-pro,YunaiV,29666,2021-01-24T03:18:25Z,6411,34
kafka,apache,29659,2011-08-15T18:06:16Z,14237,0
hutool,chinabugotech,29615,2014-04-13T07:23:51Z,7569,149
apollo,apolloconfig,29379,2016-03-04T10:24:23Z,10228,41
canal,alibaba,28887,2013-01-13T10:59:52Z,7648,32
SpringAll,wuyouzhuguli,28659,2018-05-02T02:48:44Z,8182,0
xxl-job,xuxueli,28449,2015-11-28T12:59:34Z,11106,36
spring-cloud-alibaba,alibaba,28306,2017-12-01T20:49:15Z,8383,47
druid,alibaba,28088,2011-11-03T05:12:51Z,8600,51
vhr,lenve,27652,2018-01-04T08:57:51Z,10298,0
JCSprout,crossoverJie,27104,2017-12-17T09:06:50Z,7075,0
miaosha,qiurunze123,26275,2018-09-14T04:36:24Z,6618,0
keycloak,keycloak,25960,2013-07-02T13:38:51Z,7133,76
Telegram,DrKLO,25902,2013-10-25T14:08:10Z,8298,95
fastjson,alibaba,25776,2011-11-03T06:58:52Z,6495,84
incubator-seata,apache,25544,2018-12-28T08:37:22Z,8815,42
butterknife,JakeWharton,25531,2013-03-05T08:18:59Z,4599,0
toBeTopJavaer,hollischuang,25422,2018-10-25T09:54:54Z,5452,0
SmartRefreshLayout,scwang90,25049,2017-06-02T09:52:50Z,4966,14
proxyee-down,proxyee-down-org,24904,2017-10-25T10:07:27Z,4427,49
EventBus,greenrobot,24739,2012-07-16T16:55:40Z,4670,7
flink,apache,24634,2014-06-07T07:00:10Z,13558,0
Hystrix,Netflix,24261,2012-11-19T20:14:46Z,4729,79
skywalking,apache,24152,2015-11-07T03:30:36Z,6567,61
libgdx,libgdx,23820,2012-08-10T19:34:38Z,6472,13
bazel,bazelbuild,23777,2014-06-12T16:00:38Z,4155,186
jenkins,jenkinsci,23753,2010-11-22T21:21:23Z,8979,404
redisson,redisson,23664,2014-01-11T14:06:25Z,5413,166
gson,google,23614,2015-03-19T18:21:20Z,4313,9
Mindustry,Anuken,23473,2017-04-30T01:24:29Z,3041,160
openapi-generator,OpenAPITools,23092,2018-05-12T09:57:56Z,6802,70
Sentinel,alibaba,22627,2018-04-04T06:37:33Z,8081,25
source-code-hunter,doocs,22545,2019-10-28T01:35:10Z,4166,0
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22207,2012-11-24T00:14:41Z,773,0
ExoPlayer,google,21799,2014-06-13T21:19:18Z,6038,28
SmartTube,yuliskov,21789,2020-07-28T12:53:52Z,1176,716
rocketmq,apache,21610,2016-11-30T08:00:08Z,11807,21
awesome-system-design-resources,ashishps1,21585,2023-10-25T01:50:42Z,5155,0
eladmin,elunez,21543,2018-12-14T08:54:24Z,7380,1
Apktool,iBotPeaches,21512,2012-03-19T17:46:53Z,3679,25
Chat2DB,CodePhiliaX,20748,2023-06-20T14:05:26Z,2282,43
graal,oracle,20694,2016-01-14T17:11:35Z,1678,32
jdk,openjdk,20594,2018-09-17T12:29:20Z,5752,0
GSYVideoPlayer,CarGuo,20584,2016-11-13T12:34:31Z,4241,48
conductor,conductor-oss,20407,2023-12-08T06:06:09Z,554,19
HikariCP,brettwooldridge,20311,2013-10-08T05:43:03Z,2967,0
DoKit,didi,20289,2018-08-14T10:32:07Z,3143,10
shardingsphere,apache,20114,2016-01-18T12:49:26Z,6792,58
mybatis-3,mybatis,19996,2013-02-14T19:03:32Z,12924,46
RxAndroid,ReactiveX,19867,2014-08-19T03:46:38Z,2947,20
dataease,dataease,19584,2021-02-02T04:10:21Z,3494,91
litemall,linlinjava,19531,2018-03-22T16:42:30Z,7260,8
SpringBoot-Labs,yudaocode,19462,2018-09-12T14:51:46Z,6080,0
LSPosed,LSPosed,19444,2020-12-12T08:39:37Z,3163,39
PhotoView,Baseflow,18831,2012-07-17T16:39:00Z,3931,5
cat,dianping,18807,2012-12-05T02:31:48Z,5428,3
DSA-Bootcamp-Java,kunal-kushwaha,18546,2021-07-30T12:23:25Z,11730,0
thingsboard,thingsboard,18423,2016-12-01T09:33:30Z,5447,65
SpringCloudLearning,forezp,17924,2017-04-08T10:06:56Z,8055,0
Algorithms,williamfiset,17751,2017-03-18T02:50:46Z,4441,0
intellij-community,JetBrains,17736,2011-09-30T13:33:05Z,5361,0
antlr4,antlr,17691,2010-02-04T01:36:28Z,3340,31
